ids,labels,parents,values,Valores reales,Faltante,44,<-- Este es el selector de municipio,
ESTADO,ESTADO 42%,,0,42,,42.02862573,Aquí sumo y divido entre 18 que son los indicadores totales,
INDICE DE TRANSPARENCIA,INDICE DE TRANSPARENCIA 90%,ESTADO,0,90,,90.09421053,,
NORMATIVIDAD,NORMATIVIDAD 16%,ESTADO,0,16,,16.66666667,,
DATOS ABIERTOS,DATOS ABIERTOS 51%,ESTADO,0,51,,51.57894737,,
DENUNCIAS,DENUNCIAS 41%,ESTADO,0,41,,41.66666667,,
SOLICITUDES,SOLICITUDES 100%,ESTADO,0,100,,100,,
PEAC,PEAC 0%,ESTADO,0,0,,0,,
PERCEPCIÓN,PERCEPCIÓN 66%,ESTADO,0,66,,66.76315789,,
PEI,PEI 0%,ESTADO,0,0,,0,,
Transparencia,Transparencia,INDICE DE TRANSPARENCIA,9,90.09421053,9.905789474,2,90.09421053,"<--(Matriz, Selector de municipio, selector de fila )"
Plan de trabajo,Plan de trabajo,NORMATIVIDAD,75,25,75,3,25,
Reglamento,Reglamento,NORMATIVIDAD,75,25,75,4,25,
Vigencia convenio,Vigencia convenio,NORMATIVIDAD,100,0,100,5,0,
Accesibilidad,Accesibilidad,DATOS ABIERTOS,0,100,0,7,100,
Legibilidad de datos,Legibilidad de datos,DATOS ABIERTOS,67,32.23684211,67.76315789,8,32.23684211,
No-licencia,No-licencia,DATOS ABIERTOS,0,100,0,9,100,
Vinculos de descarga,Vinculos de descarga,DATOS ABIERTOS,74,25.65789474,74.34210526,10,25.65789474,
Estandar de Datos,Estandar de Datos,DATOS ABIERTOS,100,0,100,11,0,
Buzón de fácil acceso,Buzón de fácil acceso,DENUNCIAS,51,48.68421053,51.31578947,13,48.68421053,
Vinculado a SEI,Vinculado a SEI,DENUNCIAS,50,50,50,14,50,
Facil acceso y visible,Facil acceso y visible,DENUNCIAS,73,26.31578947,73.68421053,15,26.31578947,
Solicitudes Atendidas,Solicitudes Atendidas,SOLICITUDES,0,100,0,17,100,
Percepción de corrupción,Percepción de corrupción,PERCEPCIÓN,60,39.52631579,60.47368421,23,0.604736842,
Incidencia de corrupción,Incidencia de corrupción,PERCEPCIÓN,6,94,6,24,0.061974863,
Información entregada a el SEA,Información entregada a el SEA,PEI,100,0,100,19,0,
Convenio con SEA,Convenio con SEA,PEI,100,0,100,20,0,
Interoperabilidad de Datos,Interoperabilidad de Datos,PEI,100,0,100,21,0,
Transparencia-Avance,Avance 90.0942105263158%,Transparencia,90.09421053,,,,,
Plan de trabajo-Avance,Avance 25%,Plan de trabajo,25,,,,,
Reglamento-Avance,Avance 25%,Reglamento,25,,,,,
Vigencia convenio-Avance,Avance 0%,Vigencia convenio,0,,,,,
Accesibilidad-Avance,Avance 100%,Accesibilidad,100,,,,,
Legibilidad de datos-Avance,Avance 32.2368421052632%,Legibilidad de datos,32.23684211,,,,,
No-licencia-Avance,Avance 100%,No-licencia,100,,,,,
Vinculos de descarga-Avance,Avance 25.6578947368421%,Vinculos de descarga,25.65789474,,,,,
Estandar de Datos-Avance,Avance 0%,Estandar de Datos,0,,,,,
Buzón de fácil acceso-Avance,Avance 48.6842105263158%,Buzón de fácil acceso,48.68421053,,,,,
Vinculado a SEI-Avance,Avance 50%,Vinculado a SEI,50,,,,,
Facil acceso y visible-Avance,Avance 26.3157894736842%,Facil acceso y visible,26.31578947,,,,,
Solicitudes Atendidas-Avance,Avance 100%,Solicitudes Atendidas,100,,,,,
Percepción de corrupción-Avance,Avance 39.5263157894737%,Percepción de corrupción,39.52631579,,,,,
Incidencia de corrupción-Avance,Avance 94%,Incidencia de corrupción,94,,,,,
Información entregada a el SEA-Avance,Avance 0%,Información entregada a el SEA,0,,,,,
Convenio con SEA-Avance,Avance 0%,Convenio con SEA,0,,,,,
Interoperabilidad de Datos-Avance,Avance 0%,Interoperabilidad de Datos,0,,,,,
