ids,labels,parents,values,Valores reales,Faltante,37,<-- Este es el selector de municipio,
San Juan de Sabinas ,San Juan de Sabinas  47%,,0,47,,47.29166667,Aquí sumo y divido entre 18 que son los indicadores totales,
INDICE DE TRANSPARENCIA,INDICE DE TRANSPARENCIA 94%,San Juan de Sabinas ,0,94,,94.25,,
NORMATIVIDAD,NORMATIVIDAD 16%,San Juan de Sabinas ,0,16,,16.66666667,,
DATOS ABIERTOS,DATOS ABIERTOS 55%,San Juan de Sabinas ,0,55,,55,,
DENUNCIAS,DENUNCIAS 66%,San Juan de Sabinas ,0,66,,66.66666667,,
SOLICITUDES,SOLICITUDES 100%,San Juan de Sabinas ,0,100,,100,,
PEAC,PEAC 0%,San Juan de Sabinas ,0,0,,0,,
PERCEPCIÓN,PERCEPCIÓN 66%,San Juan de Sabinas ,0,66,,66,,
PEI,PEI 0%,San Juan de Sabinas ,0,0,,0,,
Transparencia,Transparencia,INDICE DE TRANSPARENCIA,5,94.25,5.75,2,94.25,"<--(Matriz, Selector de municipio, selector de fila )"
Plan de trabajo,Plan de trabajo,NORMATIVIDAD,75,25,75,3,25,
Reglamento,Reglamento,NORMATIVIDAD,75,25,75,4,25,
Vigencia convenio,Vigencia convenio,NORMATIVIDAD,100,0,100,5,0,
Accesibilidad,Accesibilidad,DATOS ABIERTOS,0,100,0,7,100,
Legibilidad de datos,Legibilidad de datos,DATOS ABIERTOS,50,50,50,8,50,
No-licencia,No-licencia,DATOS ABIERTOS,0,100,0,9,100,
Vinculos de descarga,Vinculos de descarga,DATOS ABIERTOS,75,25,75,10,25,
Estandar de Datos,Estandar de Datos,DATOS ABIERTOS,100,0,100,11,0,
Buzón de fácil acceso,Buzón de fácil acceso,DENUNCIAS,50,50,50,13,50,
Vinculado a SEI,Vinculado a SEI,DENUNCIAS,50,50,50,14,50,
Facil acceso y visible,Facil acceso y visible,DENUNCIAS,0,100,0,15,100,
Solicitudes Atendidas,Solicitudes Atendidas,SOLICITUDES,0,100,0,17,100,
Percepción de corrupción,Percepción de corrupción,PERCEPCIÓN,62,38,62,23,0.62,
Incidencia de corrupción,Incidencia de corrupción,PERCEPCIÓN,6,94,6,24,0.064814815,
Información entregada a el SEA,Información entregada a el SEA,PEI,100,0,100,19,0,
Convenio con SEA,Convenio con SEA,PEI,100,0,100,20,0,
Interoperabilidad de Datos,Interoperabilidad de Datos,PEI,100,0,100,21,0,
Transparencia-Avance,Avance 94.25%,Transparencia,94.25,,,,,
Plan de trabajo-Avance,Avance 25%,Plan de trabajo,25,,,,,
Reglamento-Avance,Avance 25%,Reglamento,25,,,,,
Vigencia convenio-Avance,Avance 0%,Vigencia convenio,0,,,,,
Accesibilidad-Avance,Avance 100%,Accesibilidad,100,,,,,
Legibilidad de datos-Avance,Avance 50%,Legibilidad de datos,50,,,,,
No-licencia-Avance,Avance 100%,No-licencia,100,,,,,
Vinculos de descarga-Avance,Avance 25%,Vinculos de descarga,25,,,,,
Estandar de Datos-Avance,Avance 0%,Estandar de Datos,0,,,,,
Buzón de fácil acceso-Avance,Avance 50%,Buzón de fácil acceso,50,,,,,
Vinculado a SEI-Avance,Avance 50%,Vinculado a SEI,50,,,,,
Facil acceso y visible-Avance,Avance 100%,Facil acceso y visible,100,,,,,
Solicitudes Atendidas-Avance,Avance 100%,Solicitudes Atendidas,100,,,,,
Percepción de corrupción-Avance,Avance 38%,Percepción de corrupción,38,,,,,
Incidencia de corrupción-Avance,Avance 94%,Incidencia de corrupción,94,,,,,
Información entregada a el SEA-Avance,Avance 0%,Información entregada a el SEA,0,,,,,
Convenio con SEA-Avance,Avance 0%,Convenio con SEA,0,,,,,
Interoperabilidad de Datos-Avance,Avance 0%,Interoperabilidad de Datos,0,,,,,
