Municipios,Transparencia,Percepción,Normatividad,Datos Abiertos,Denuncias,ParticPEAC,ParticSEI,Solicitudes atendidas,,NoMODIFICAR NOMBRES
Abasolo,92.53,33.7,25,50,33.3,0,0,0,,<-- Totales de las mediciones
Acuña,70.11,32.7,25,60,66.6,0,0,0,,<-- Guardar en Exel y archivos CSV con UTF 8
Allende,92.53,32.7,25,50,33.3,0,0,0,,Para lectura de gráficas de BARRA
Arteaga,96.55,34.4,25,60,66.6,0,0,0,,
Candela,77.01,33.7,25,50,33.3,0,0,0,,
Castaños,89.08,33.7,25,50,33.3,0,0,0,,
Cuatro Ciénegas,91.38,33.7,25,50,33.3,0,0,0,,
Escobedo,97.13,33.7,25,50,33.3,0,0,0,,
Fco. I Madero,87.93,31.6,25,50,33.3,0,0,0,,
Frontera ,83.91,33.7,25,50,33.3,0,0,0,,
General Cepeda,95.98,34.4,25,50,33.3,0,0,0,,
Guerrero,95.4,32.7,25,50,33.3,0,0,0,,
Hidalgo ,77.01,32.7,25,50,33.3,0,0,0,,
Jiménez,94.83,32.7,25,50,33.3,0,0,0,,
Juárez,76.44,34.2,25,50,33.3,0,0,0,,
Lamadrid ,98.85,33.7,25,50,33.3,0,0,0,,
Matamoros,81.03,31.6,25,50,33.3,0,0,0,,
Monclova,99.43,33.7,25,50,66.6,0,0,0,,
Morelos,87.93,32.7,25,50,33.3,0,0,0,,
Muzquiz,97.7,34.2,25,50,33.3,0,0,0,,
Nadadores ,64.94,33.7,25,50,33.3,0,0,0,,
Nava,95.98,32.7,25,60,66.6,0,0,0,,
Ocampo,74.14,33.7,25,50,33.3,0,0,0,,
Parras,85.06,34.4,25,50,33.3,0,0,0,,
Piedras Negras,99.43,32.7,25,50,66.6,0,0,0,,
Progreso,99.43,34.2,25,50,33.3,0,0,0,,
Ramos Arizpe ,100,34.4,25,50,66.6,0,0,0,,
Sabinas,95.4,34.2,25,60,16.6,0,0,0,,
Sacramento,99.43,33.7,25,50,33.3,0,0,0,,
Saltillo,97.7,34.4,25,50,66.6,0,0,0,,
San Buenaventura,90.23,33.7,25,50,33.3,0,0,0,,
San Juan de Sabinas ,94.25,34.2,25,55,66.6,0,0,0,,
San Pedro,86.78,31.6,25,55,66.6,0,0,0,,
Sierra Mojada ,86.78,33.7,25,50,33.3,0,0,0,,
Torreón,100,31.6,25,60,66.6,0,0,0,,
Viesca,85.63,31.6,25,50,33.3,0,0,0,,
Villa Unión,87.36,32.7,25,50,33.3,0,0,0,,
Zaragoza,98.28,32.7,25,50,33.3,0,0,0,,
